key	ja	ko
MG:0	それでは、大神さん。\n簡単にルールを\n説明しますね。B	그럼，　오오가미　씨．\n간단히　규칙을\n설명할게요．B
MG:1	手前にあるのが\n大神さんのぶんの\n手札です。B	앞에　있는　게\n오오가미　씨　몫의\n손패예요．B
MG:2	弱いカードから\n強いカードの順に\n左から右へ\n並んでるんですよ。B	약한　카드부터\n강한　카드　순으로\n왼쪽에서　오른쪽으로\n늘어서　있어요．B
MG:3	３が一番弱くて\n２が一番強いんです。\nおぼえておいて\nくださいね。B	３이　가장　약하고\n２가　가장　강해요．\n기억해　두세요．B
MG:4	では、次に\nカードの出し方を\n説明します。B	그럼　다음은\n카드　내는　법을\n설명할게요．B
MG:5	まず最初に……\n好きなカードを選んで\n真ん中に出します。B	우선　처음에……\n원하는　카드를　골라\n한가운데에　냅니다．B
MG:6	自分の番なら\n好きな札を、何でも\n出していいんです。B	자기　차례라면\n원하는　패를　뭐든\n내도　괜찮아요．B
MG:7	そうそう！\n同じ数のペアがあれば\n一緒にまとめて\n出せるんですよ！I	맞아요！\n같은　숫자　짝이　있으면\n한꺼번에\n낼　수　있어요！I
MG:8	出したいと思う\nカードのところに\nカーソルを\n合わせて……c	내고　싶은\n카드　자리에\n커서를\n맞춰서……c
MG:9	○ボタンを\n押すと……ほら！\nカードのふちの色が\n変わりましたよね？H	○버튼을\n누르면……보세요！\n카드　테두리　색이\n바뀌었죠？H
MG:10	同じ数のカードを\n２枚以上出すときも\n同じように、ボタンで\n選んでください。B	같은　숫자　카드를\n２장　이상　낼　때도\n똑같이　버튼으로\n골라　주세요．B
MG:11	……ほら！\nちゃんと２枚目も\n選べました。B	……보세요！\n２장째도　제대로\n골랐어요．B
MG:12	選んだカードを\nキャンセルしたければ\n×ボタンを\n押してください。B	고른　카드를\n취소하고　싶으면\n×버튼을\n눌러　주세요．B
MG:13	出したいカードが\n決まったら\n選びおわった\nカードの上で……c	낼　카드가\n정해지면\n다　고른\n카드　위에서……c
MG:14	○ボタンを\nもう一度押すと……\nカードが前に出ます。B	○버튼을\n한　번　더　누르면……\n카드가　앞으로　나와요．B
MG:15	次の人は\n同じ枚数の\nもっと強いカードを\n出さなくてはいけません。B	다음　사람은\n같은　장수의\n더　강한　카드를\n내야만　해요．B
MG:16	出せない時は\n「パス」になります。\n他の人みんなが\nパスをすると……c	못　낼　때는\n「패스」가　돼요．\n다른　사람이　모두\n패스하면……c
MG:17	今度は、また\n大神さんから\nカードを出せますよ。B	이번에는　다시\n오오가미　씨부터\n카드를　낼　수　있어요．B
MG:18	……ああっ！\n同じ数のカードが\n４枚出ました！\nこれが「革命」です！I	……아앗！\n같은　숫자　카드가\n４장　나왔어요！\n이게　「혁명」이에요！I
MG:19	「革命」が起こると\nその瞬間から\nカードの強弱が\n逆になるんです。B	「혁명」이　일어나면\n그　순간부터\n카드의　강약이\n뒤집혀요．B
MG:20	２が一番弱くなって\n３が一番強くなって……\nもう、大変ですね！I	２가　가장　약해지고\n３이　가장　강해지고……\n정말　큰일이죠！I
MG:21	でも、もう一回\n革命が起これば\nカードの強さは\n元に戻りますよ。B	하지만　한　번　더\n혁명이　일어나면\n카드의　세기는\n원래대로　돌아와요．B
MG:22	たとえ革命が起きても\nジョーカーは\n何のカードにも勝てる\n最強のカードです。B	혁명이　일어나도\n조커는\n어떤　카드에도　이기는\n최강의　카드예요．B
MG:23	他のカードとも一緒に\n出せるジョーカーは\n本当に強いカードです。\n大事にしてください。B	다른　카드와　함께\n낼　수　있는　조커는\n정말　강한　카드예요．\n소중히　쓰세요．B
MG:24	……あっ、そうそう。\nカードを出せなければ\n自動的にパスに\nなるんですけど……c	……아，　맞다．\n카드를　못　내면\n자동으로　패스가\n되는데요……c
MG:25	あえてパスするときは\n「パス」にカーソルを\nあわせ、○ボタンを\n押してください。B	일부러　패스할　때는\n「패스」에　커서를\n맞추고　○버튼을\n눌러　주세요．B
MG:26	そして、最後に……\n自分のカードが\n全部なくなれば\n「あがり」です。B	그리고　마지막에……\n자기　카드가\n전부　없어지면\n「올라가기」예요．B
MG:27	あっ、忘れてました！\n一番強い\n２かジョーカーで\n最後にあがるのは……c	아，　잊고　있었어요！\n가장　강한\n２나　조커로\n마지막에　오르는　건……c
MG:28	花組のルールでは\n禁じ手に\nなってるんです。B	화조의　규칙에서는\n금지된　수로\n되어　있어요．B
